Unnamed: 0,innode,outnode,etype,dataflow,id_x,line_out,id_y,line_in,graph_id
51289,20,10.0,CFG,,5,1.0,33,,679
51290,15,0.0,CFG,,7,1.0,15,4.0,679
51291,17,4.0,CFG,,13,4.0,23,5.0,679
51292,18,3.0,CFG,,21,5.0,26,5.0,679
51293,16,4.0,CFG,,13,4.0,30,6.0,679
51294,12,18.0,CFG,,26,5.0,27,5.0,679
51295,14,12.0,CFG,,27,5.0,28,5.0,679
51296,5,16.0,CFG,,30,6.0,29,6.0,679
51297,19,1.0,CFG,,19,5.0,31,1.0,679
51298,19,5.0,CFG,,29,6.0,31,1.0,679
51299,4,9.0,CFG,,17,4.0,13,4.0,679
51300,6,11.0,CFG,,16,4.0,14,4.0,679
51301,9,6.0,CFG,,14,4.0,17,4.0,679
51302,13,17.0,CFG,,23,5.0,24,5.0,679
51303,3,8.0,CFG,,25,5.0,21,5.0,679
51304,1,2.0,CFG,,20,5.0,19,5.0,679
51305,2,14.0,CFG,,28,5.0,20,5.0,679
51306,8,7.0,CFG,,22,5.0,25,5.0,679
51307,7,13.0,CFG,,24,5.0,22,5.0,679
51308,11,15.0,CFG,,15,4.0,16,4.0,679
384589,218,122.0,CFG,,5,1.0,369,,5398
384590,308,90.0,CFG,,143,37.0,148,37.0,5398
384591,238,68.0,CFG,,142,37.0,152,37.0,5398
384592,330,77.0,CFG,,273,55.0,281,55.0,5398
384593,319,115.0,CFG,,29,19.0,35,20.0,5398
384594,204,319.0,CFG,,35,20.0,37,20.0,5398
384595,292,39.0,CFG,,220,49.0,226,49.0,5398
384596,275,27.0,CFG,,173,40.0,194,42.0,5398
384597,318,95.0,CFG,,360,68.0,365,68.0,5398
384598,278,292.0,CFG,,226,49.0,227,49.0,5398
384599,247,232.0,CFG,,123,36.0,128,36.0,5398
384600,234,64.0,CFG,,125,36.0,135,36.0,5398
384601,287,286.0,CFG,,208,45.0,209,45.0,5398
384602,306,24.0,CFG,,139,37.0,157,39.0,5398
384603,328,200.0,CFG,,32,19.0,33,19.0,5398
384604,335,19.0,CFG,,229,51.0,239,52.0,5398
384605,242,63.0,CFG,,159,39.0,169,39.0,5398
