Unnamed: 0,dgl_id,_label,name,code,lineNumber,columnNumber,lineNumberEnd,columnNumberEnd,controlStructureType,order,fullName,typeFullName,local_type,local_block,node_label,node_id,vuln,graph_id
49496,0,METHOD,tar_sparse_scan,"ANY tar_sparse_scan (struct tar_sparse_file *file,enum sparse_scan_state state,void *block)",1,1.0,7.0,1.0,,1.0,tar_sparse_scan,,,,"METHOD_1.0: ANY tar_sparse_scan (struct tar_sparse_file *file,enum sparse_scan_state state,void *block)",7,0.0,679
49497,1,RETURN,,"return file->optab->scan_block (file, state, block);",5,5.0,,,,1.0,,,,,"RETURN_5.0: return file->optab->scan_block (file, state, block);",19,0.0,679
49498,2,CALL,file->optab->scan_block,"file->optab->scan_block (file, state, block)",5,12.0,,,,1.0,,<empty>,,,"CALL_5.0: file->optab->scan_block (file, state, block)",20,0.0,679
49499,3,CALL,<operator>.indirectFieldAccess,file->optab->scan_block,5,12.0,,,,1.0,,<empty>,,,CALL_5.0: file->optab->scan_block,21,0.0,679
49500,4,CALL,<operator>.indirectFieldAccess,file->optab->scan_block,4,7.0,,,,1.0,,<empty>,,,CALL_4.0: file->optab->scan_block,13,0.0,679
49501,5,RETURN,,return true;,6,3.0,,,,2.0,,,,,RETURN_6.0: return true;,29,0.0,679
49502,6,CALL,<operator>.indirectFieldAccess,file->optab,4,7.0,,,,1.0,,<empty>,,,CALL_4.0: file->optab,14,0.0,679
49503,7,CALL,<operator>.indirectFieldAccess,file->optab,5,12.0,,,,1.0,,<empty>,,,CALL_5.0: file->optab,22,0.0,679
49504,8,FIELD_IDENTIFIER,,scan_block,5,25.0,,,,2.0,,,,,FIELD_IDENTIFIER_5.0: scan_block,25,0.0,679
49505,9,FIELD_IDENTIFIER,,scan_block,4,20.0,,,,2.0,,,,,FIELD_IDENTIFIER_4.0: scan_block,17,0.0,679
49506,10,METHOD,<global>,<global>,1,,7.0,,,1.0,/work/LAS/weile-lab/benjis/linevd/storage/processed/bigvul/before/679.c:<global>,,,,METHOD_1.0: <global>,5,0.0,679
49507,11,FIELD_IDENTIFIER,,optab,4,13.0,,,,2.0,,,,,FIELD_IDENTIFIER_4.0: optab,16,0.0,679
49508,12,IDENTIFIER,state,state,5,43.0,,,,3.0,,sparse_scan_state,,,IDENTIFIER_5.0: state,27,0.0,679
49509,13,FIELD_IDENTIFIER,,optab,5,18.0,,,,2.0,,,,,FIELD_IDENTIFIER_5.0: optab,24,0.0,679
49510,14,IDENTIFIER,block,block,5,50.0,,,,4.0,,void,,,IDENTIFIER_5.0: block,28,0.0,679
49511,15,IDENTIFIER,file,file,4,7.0,,,,1.0,,tar_sparse_file,,,IDENTIFIER_4.0: file,15,0.0,679
49512,16,IDENTIFIER,true,true,6,10.0,,,,1.0,,ANY,,,IDENTIFIER_6.0: true,30,0.0,679
49513,17,IDENTIFIER,file,file,5,12.0,,,,1.0,,tar_sparse_file,,,IDENTIFIER_5.0: file,23,0.0,679
49514,18,IDENTIFIER,file,file,5,37.0,,,,2.0,,tar_sparse_file,,,IDENTIFIER_5.0: file,26,0.0,679
49515,19,METHOD_RETURN,,ANY,1,1.0,,,,5.0,,ANY,,,METHOD_RETURN_1.0: ANY,31,0.0,679
49516,20,METHOD_RETURN,,RET,-1,,,,,2.0,,ANY,,,METHOD_RETURN_: RET,33,0.0,679
371237,0,CALL,<operator>.assignment,"CUR.zp2.cur_y[point] = ( CUR.zp1.cur_y[a0] +
                               CUR.zp1.cur_y[a1] +
                               CUR.zp0.cur_y[b0] +
                               CUR.zp1.cur_y[b1] ) / 4",65,7.0,,,,2.0,,<empty>,,,"CALL_65.0: CUR.zp2.cur_y[point] = ( CUR.zp1.cur_y[a0] +
                               CUR.zp1.cur_y[a1] +
                               CUR.zp0.cur_y[b0] +
                               CUR.zp1.cur_y[b1] ) / 4",326,0.0,5398
371238,1,CALL,<operator>.assignment,"CUR.zp2.cur_x[point] = ( CUR.zp1.cur_x[a0] +
                               CUR.zp1.cur_x[a1] +
                               CUR.zp0.cur_x[b0] +
                               CUR.zp1.cur_x[b1] ) / 4",61,7.0,,,,1.0,,<empty>,,,"CALL_61.0: CUR.zp2.cur_x[point] = ( CUR.zp1.cur_x[a0] +
                               CUR.zp1.cur_x[a1] +
                               CUR.zp0.cur_x[b0] +
                               CUR.zp1.cur_x[b1] ) / 4",285,0.0,5398
371239,2,CALL,<operator>.division,"( CUR.zp1.cur_y[a0] +
                               CUR.zp1.cur_y[a1] +
                               CUR.zp0.cur_y[b0] +
                               CUR.zp1.cur_y[b1] ) / 4",65,30.0,,,,2.0,,<empty>,,,"CALL_65.0: ( CUR.zp1.cur_y[a0] +
                               CUR.zp1.cur_y[a1] +
                               CUR.zp0.cur_y[b0] +
                               CUR.zp1.cur_y[b1] ) / 4",334,0.0,5398
371240,3,CALL,<operator>.division,"( CUR.zp1.cur_x[a0] +
                               CUR.zp1.cur_x[a1] +
                               CUR.zp0.cur_x[b0] +
                               CUR.zp1.cur_x[b1] ) / 4",61,30.0,,,,2.0,,<empty>,,,"CALL_61.0: ( CUR.zp1.cur_x[a0] +
                               CUR.zp1.cur_x[a1] +
                               CUR.zp0.cur_x[b0] +
                               CUR.zp1.cur_x[b1] ) / 4",293,0.0,5398
371241,4,CALL,<operator>.addition,"CUR.zp1.cur_y[a0] +
                               CUR.zp1.cur_y[a1] +
                               CUR.zp0.cur_y[b0] +
                               CUR.zp1.cur_y[b1]",65,32.0,,,,1.0,,<empty>,,,"CALL_65.0: CUR.zp1.cur_y[a0] +
                               CUR.zp1.cur_y[a1] +
                               CUR.zp0.cur_y[b0] +
                               CUR.zp1.cur_y[b1]",335,0.0,5398
371242,5,CALL,<operator>.addition,"CUR.zp1.cur_x[a0] +
                               CUR.zp1.cur_x[a1] +
                               CUR.zp0.cur_x[b0] +
                               CUR.zp1.cur_x[b1]",61,32.0,,,,1.0,,<empty>,,,"CALL_61.0: CUR.zp1.cur_x[a0] +
                               CUR.zp1.cur_x[a1] +
                               CUR.zp0.cur_x[b0] +
                               CUR.zp1.cur_x[b1]",294,0.0,5398
